Timestamp,Event,Details
2026-05-25T17:38:22.052047164+02:00,GRID_EVENT,Symulacja uruchomiona pomyślnie. Utworzono wszystkie gorutyny.
2026-05-25T17:38:22.152927738+02:00,GRID_EVENT,Nadwyżka w sieci. Ładowanie ESS: +25.00 MW
2026-05-25T17:38:22.152932503+02:00,GRID_EVENT,Prognoza: Prędkość wiatru zmieni się o -1.98 jednostek w ciągu 1 GridStep
2026-05-25T17:38:22.252891781+02:00,GRID_EVENT,"Nadwyżka w sieci, ESS pełny (100%). Ograniczanie mocy OZE (Curtailment)."
2026-05-25T17:38:22.252984741+02:00,GRID_EVENT,Prognoza: Prędkość wiatru zmieni się o 0.65 jednostek w ciągu 1 GridStep
2026-05-25T17:38:22.352665241+02:00,GRID_EVENT,Prognoza: Prędkość wiatru zmieni się o 0.05 jednostek w ciągu 1 GridStep
2026-05-25T17:38:22.352676563+02:00,GRID_EVENT,"Nadwyżka w sieci, ESS pełny (100%). Ograniczanie mocy OZE (Curtailment)."
2026-05-25T17:38:22.4525584+02:00,GRID_EVENT,Prognoza: Prędkość wiatru zmieni się o -1.23 jednostek w ciągu 1 GridStep
2026-05-25T17:38:22.452597503+02:00,GRID_EVENT,"Nadwyżka w sieci, ESS pełny (100%). Ograniczanie mocy OZE (Curtailment)."
2026-05-25T17:38:22.553087605+02:00,GRID_EVENT,Prognoza: Prędkość wiatru zmieni się o -1.14 jednostek w ciągu 1 GridStep
2026-05-25T17:38:22.553117676+02:00,GRID_EVENT,"Nadwyżka w sieci, ESS pełny (100%). Ograniczanie mocy OZE (Curtailment)."
2026-05-25T17:38:22.65302118+02:00,GRID_EVENT,Prognoza: Prędkość wiatru zmieni się o -1.06 jednostek w ciągu 1 GridStep
2026-05-25T17:38:22.653050187+02:00,GRID_EVENT,Niedobór w sieci. Rozładowanie ESS: -0.14 MW
2026-05-25T17:38:22.752751524+02:00,GRID_EVENT,Niedobór w sieci. Rozładowanie ESS: -18.33 MW
2026-05-25T17:38:22.752755065+02:00,GRID_EVENT,Prognoza: Prędkość wiatru zmieni się o -1.96 jednostek w ciągu 1 GridStep
2026-05-25T17:38:22.852256578+02:00,GRID_EVENT,Niedobór w sieci. Rozładowanie ESS: -31.53 MW
